4, 12, 1.22, 0.00
4, 10, 1.06, 1.22
4, 11, 1.06, 2.28
4, 10, 1.24, 3.33
4, 11, 1.25, 21.22
4, 9, 1.30, 22.48
4, 11, 1.04, 23.78
4, 9, 1.14, 24.82
4, 9, 1.14, 25.96
3, 12, 1.42, 27.10
3, 12, 1.06, 29.61
4, 12, 1.08, 31.78
4, 12, 1.44, 33.95
4, 12, 1.04, 35.39
4, 9, 1.17, 36.43
4, 10, 1.14, 37.60
4, 9, 1.03, 39.88
4, 12, 1.16, 40.91
4, 12, 1.36, 43.11
4, 9, 1.03, 44.47
3, 12, 1.15, 46.57
4, 9, 1.08, 47.72
4, 8, 1.04, 48.80
4, 9, 1.15, 49.84
4, 11, 1.02, 50.99
4, 12, 1.04, 55.23
4, 12, 1.24, 56.27
4, 12, 2.04, 57.52
4, 9, 1.09, 62.79
3, 12, 1.09, 68.08
4, 9, 1.02, 73.76
4, 10, 1.24, 75.89
4, 8, 1.01, 77.14
3, 12, 1.32, 78.15
4, 12, 1.11, 79.47
3, 12, 1.02, 80.58
3, 12, 1.49, 81.61
4, 9, 1.03, 83.09
4, 9, 1.30, 84.13
4, 8, 1.03, 85.43
3, 12, 1.29, 86.46
4, 9, 1.54, 87.75
3, 12, 1.32, 89.29
4, 9, 1.11, 90.62
4, 11, 1.07, 91.73
4, 12, 1.35, 93.97
4, 9, 1.11, 95.32
4, 12, 1.08, 96.43
4, 11, 1.40, 98.58
4, 12, 1.09, 99.99
4, 9, 1.13, 101.08
4, 12, 1.15, 102.20
4, 12, 1.27, 103.35
4, 12, 1.11, 104.62
4, 10, 1.14, 105.73
4, 12, 1.02, 106.87
4, 12, 1.10, 107.89
4, 12, 1.83, 108.99
4, 9, 1.52, 111.90
4, 12, 1.02, 115.65
4, 9, 1.10, 116.67
4, 10, 1.01, 117.77
4, 9, 1.22, 118.78
4, 9, 2.79, 120.00
4, 10, 1.44, 122.79
4, 11, 1.47, 124.23
4, 9, 1.43, 125.70
4, 11, 1.45, 127.13
4, 9, 1.45, 128.58
4, 11, 1.44, 130.03
4, 12, 1.44, 131.47
4, 11, 1.09, 132.91
4, 10, 1.09, 134.00
4, 11, 1.09, 135.09
4, 11, 1.09, 136.19
4, 9, 1.07, 137.28
4, 11, 1.10, 138.34
4, 11, 1.07, 139.45
4, 11, 1.07, 141.61
4, 10, 3.23, 144.00
4, 8, 1.09, 147.23
4, 8, 1.08, 148.32
4, 10, 2.54, 149.40
4, 9, 1.06, 151.94
4, 8, 1.10, 153.00
4, 8, 1.78, 154.10
4, 10, 1.28, 157.13
4, 10, 1.23, 158.41
4, 8, 1.11, 159.64
4, 11, 1.45, 160.75
4, 10, 1.03, 162.20
4, 9, 1.13, 163.24
4, 10, 1.15, 164.36
4, 9, 1.03, 165.51
4, 12, 1.01, 166.55
4, 11, 1.79, 167.56
4, 10, 1.14, 169.34
4, 12, 1.04, 170.48
4, 11, 1.07, 171.53
4, 12, 1.43, 172.59
